url,title,created_date,last_comment,num_comments
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/201955,Submission Error,2020-12-07 22:46:05,2020-12-08 03:05:20,4
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/198647,submission failed,2020-11-22 17:28:09,2020-12-13 13:36:40,13
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/201404,Batch Normalization after or before Activation function?,2020-12-05 04:05:05,2020-12-07 05:38:24,6
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/202117,Learning with noise label?,2020-12-08 21:36:06,2020-12-08 23:30:20,1
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/200920,Valid set and LeaderBoard scores are much diff,2020-12-02 21:01:29,2020-12-08 18:03:47,8
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/201538,Some doubts regarding submission,2020-12-05 22:41:23,2020-12-06 15:55:48,4
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/201705,Submission is taking a long time to process,2020-12-06 19:35:42,2020-12-06 23:40:35,4
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/200828,1 Year into ML and still asking noob questions,2020-12-02 12:14:15,2020-12-04 03:00:33,7
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/201967,why only 1 image for testing?,2020-12-07 23:46:15,2020-12-08 01:52:23,2
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/201186,Improve VisionTransformer Baseline [over 0.89] with Out-of-box APIs,2020-12-04 00:37:05,2020-12-04 01:35:45,1
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/201473,Submission is taking a long time to process,2020-12-05 16:13:01,2020-12-06 07:37:55,11
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/201552,OCD on Seeding: Deviations of results in different environments after Seeding.,2020-12-05 23:53:37,2020-12-07 02:43:52,1
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/200803,Upcoming rescore [complete],2020-12-02 08:51:33,2020-12-03 01:41:23,14
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/201775,Error while submission,2020-12-07 03:56:12,2020-12-07 22:55:43,1
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/201528,Data Not Available? Issue with Kaggle API?,2020-12-05 22:12:01,2020-12-06 09:39:42,5
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/200746,LeafGAN was released!,2020-12-02 02:18:18,2020-12-02 19:39:05,7
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/199414,Update to tfrecords,2020-11-26 01:42:30,2020-12-08 11:17:15,2
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/198299,How to download full dataset on Colab?,2020-11-21 00:52:58,2020-12-12 11:17:54,9
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/201213,Augmentation only on the minority class.,2020-12-04 02:56:42,2020-12-04 19:42:04,4
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/201614,Setup Dataset using Kaggle API (Colab/Local Machine Solution),2020-12-06 04:33:22,2020-12-06 04:53:21,1
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/199692,🌿 ☘️ 🍀 Deep Learning + Plant Disease Classification Research Papers - Compilation,2020-11-27 05:34:15,2020-12-05 15:53:22,10
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/200886,"Please , release the removed images for all participants",2020-12-02 18:42:51,2020-12-03 02:30:20,4
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/201513,where will be the output of the notebook!?,2020-12-05 20:58:09,2020-12-07 00:27:21,3
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/199606,What do you think about the quality of the labeling (or how many errors are in labels)?,2020-11-26 21:17:34,2020-12-03 11:26:15,22
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/201514,[Error-404] Kaggle API,2020-12-05 21:00:23,2020-12-06 04:35:10,1
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/200855,Synthetic Minority Oversampling Technique (SMOTE),2020-12-02 15:01:23,2020-12-04 22:46:51,8
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/201418,"Kaggle bug - the notebooks have wrong ""best score""",2020-12-05 06:51:50,2020-12-05 06:51:50,0
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/199903,Using GANs for data augmentation,2020-11-28 07:11:49,2020-12-04 01:54:45,15
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/198744,Stratified TFRecords datasets,2020-11-23 05:32:24,2020-12-07 08:09:00,11
